Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
DEN,Denbury Inc. Common Stock,$80.15,2.15,2.756%,4016312493.00,,2020,650109,Energy,Oil & Gas Production
DK,Delek US Holdings Inc. Common Stock,$21.25,-0.10,-0.468%,1573821261.00,United States,2017,1147652,Energy,Integrated oil Companies
DKL,Delek Logistics Partners L.P. Common Units representing Limited Partner Interests,$50.13,-0.16,-0.318%,2178320596.00,United States,2012,6637,Energy,Oil & Gas Production
DMLP,Dorchester Minerals L.P. Common Units Representing Limited Partnership Interests,$20.15,-0.18,-0.885%,713406196.00,United States,,114965,Energy,Oil & Gas Production
DNOW,NOW Inc. Common Stock,$7.65,-0.25,-3.165%,845775057.00,,2014,4204923,Energy,Metal Fabrications
DRQ,Dril-Quip Inc. Common Stock,$25.03,0.11,0.441%,886840683.00,United States,1997,151939,Energy,Metal Fabrications
DVN,Devon Energy Corporation Common Stock,$40.44,0.74,1.864%,27377880000.00,United States,,7332660,Energy,Oil & Gas Production
DWSN,Dawson Geophysical Company Common Stock,$2.23,-0.05,-2.193%,52699320.00,United States,,15567,Energy,Oil & Gas Production
E,ENI S.p.A. Common Stock,$28.24,-0.02,-0.071%,50226214328.00,Italy,,117746,Energy,Oil & Gas Production
EC,Ecopetrol S.A. American Depositary Shares,$15.32,0.01,0.065%,31495388125.00,Colombia,,719926,Energy,Oil & Gas Production
EGY,VAALCO Energy Inc.  Common Stock,$3.29,-0.03,-0.904%,192744854.00,United States,,146699,Energy,Oil & Gas Production
ENB,Enbridge Inc Common Stock,$42.80,0.28,0.659%,86702322346.00,Canada,,2732860,Energy,Oil & Gas Production
ENBA,Enbridge Inc 6.375% Fixed-to-Floating Rate Subordinated Notes Series 2018-B due 2078,$26.79,-0.25,-0.925%,0.00,Canada,2018,42259,Energy,Oil & Gas Production
ENSV,Enservco Corporation Common Stock,$1.19,-0.08,-6.299%,13604944.00,United States,,493894,Energy,Oilfield Services/Equipment
EOG,EOG Resources Inc. Common Stock,$92.00,1.10,1.21%,53715134352.00,United States,,2202611,Energy,Oil & Gas Production
EPM,Evolution Petroleum Corporation Inc. Common Stock,$5.95,-0.04,-0.668%,199413964.00,United States,,131735,Energy,Oil & Gas Production
EQNR,Equinor ASA,$27.60,-0.15,-0.541%,89469785916.00,Norway,,2295939,Energy,Integrated oil Companies
