Academic Year,LEA Number,LEA Name,School Number,School Name,Assessment,Tested Count,Level 1: Did not yet meet expectations - Count,Level 1: Did not yet meet expectations - Percent,Level 2: Partially met expectations - Count,Level 2: Partially met expectations - Percent,Level 3: Approached expectations - Count,Level 3: Approached expectations - Percent,Level 4: Met expectations - Count,Level 4: Met expectations - Percent,Level 5: Exceeded expectations - Count,Level 5: Exceeded expectations - Percent,Create Date
2017,01,Allegany,0406,Washington Middle,Algebra 1,62,*,<= 5.0,*,<= 5.0,*,<= 5.0,53,85.5,6,9.7,20180117
2017,01,Allegany,0502,Northeast Elementary,English/Language Arts Grade 3,47,9,19.1,8,17,15,31.9,14,29.8,*,<= 5.0,20180117
2017,01,Allegany,0502,Northeast Elementary,English/Language Arts Grade 4,44,6,13.6,10,22.7,11,25,17,38.6,*,<= 5.0,20180117
2017,01,Allegany,0502,Northeast Elementary,English/Language Arts Grade 5,51,5,9.8,8,15.7,15,29.4,22,43.1,*,<= 5.0,20180117
2017,01,Allegany,0502,Northeast Elementary,Mathematics Grade 3,47,*,<= 5.0,8,17,14,29.8,19,40.4,4,8.5,20180117
2017,01,Allegany,0502,Northeast Elementary,Mathematics Grade 4,44,8,18.2,6,13.6,18,40.9,11,25,*,<= 5.0,20180117
2017,01,Allegany,0502,Northeast Elementary,Mathematics Grade 5,51,3,5.9,16,31.4,8,15.7,21,41.2,3,5.9,20180117
2017,01,Allegany,0504,Braddock Middle,English/Language Arts Grade 6,175,28,16,38,21.7,42,24,61,34.9,*,<= 5.0,20180117
2017,01,Allegany,0504,Braddock Middle,English/Language Arts Grade 7,202,29,14.4,36,17.8,58,28.7,63,31.2,16,7.9,20180117
2017,01,Allegany,0504,Braddock Middle,English/Language Arts Grade 8,193,45,23.3,36,18.7,44,22.8,60,31.1,*,<= 5.0,20180117
2017,01,Allegany,0504,Braddock Middle,Mathematics Grade 6,175,22,12.6,37,21.1,52,29.7,51,29.1,13,7.4,20180117
2017,01,Allegany,0504,Braddock Middle,Mathematics Grade 7,202,15,7.4,46,22.8,84,41.6,50,24.8,*,<= 5.0,20180117
2017,01,Allegany,0504,Braddock Middle,Mathematics Grade 8,116,39,33.6,30,25.9,33,28.4,14,12.1,*,<= 5.0,20180117
2017,01,Allegany,0504,Braddock Middle,Algebra 1,77,*,<= 5.0,*,<= 5.0,10,13,54,70.1,11,14.3,20180117
2017,01,Allegany,0601,Center for Career & Technical Education,English/Language Arts Grade 11,218,117,53.7,46,21.1,33,15.1,22,10.1,*,<= 5.0,20180117
2017,01,Allegany,0601,Center for Career & Technical Education,Algebra 1,13,6,46.2,6,46.2,*,<= 5.0,1,7.7,*,<= 5.0,20180117
2017,01,Allegany,0601,Center for Career & Technical Education,Algebra 2,183,121,66.1,46,25.1,13,7.1,*,<= 5.0,*,<= 5.0,20180117
2017,01,Allegany,0603,West Side Elementary,English/Language Arts Grade 3,75,12,16,21,28,17,22.7,24,32,*,<= 5.0,20180117
2017,01,Allegany,0603,West Side Elementary,English/Language Arts Grade 4,66,*,<= 5.0,11,16.7,15,22.7,21,31.8,18,27.3,20180117
2017,01,Allegany,0603,West Side Elementary,English/Language Arts Grade 5,47,*,<= 5.0,9,19.1,10,21.3,24,51.1,3,6.4,20180117
2017,01,Allegany,0603,West Side Elementary,Mathematics Grade 3,75,12,16,14,18.7,23,30.7,23,30.7,*,<= 5.0,20180117
2017,01,Allegany,0603,West Side Elementary,Mathematics Grade 4,66,9,13.6,12,18.2,16,24.2,25,37.9,4,6.1,20180117
2017,01,Allegany,0603,West Side Elementary,Mathematics Grade 5,47,3,6.4,11,23.4,16,34,16,34,*,<= 5.0,20180117
2017,01,Allegany,0606,Allegany High,English/Language Arts Grade 10,174,30,17.2,24,13.8,28,16.1,73,42,19,10.9,20180117
2017,01,Allegany,0606,Allegany High,English/Language Arts Grade 11,107,37,34.6,20,18.7,23,21.5,22,20.6,*,<= 5.0,20180117
2017,01,Allegany,0606,Allegany High,Algebra 1,118,27,22.9,48,40.7,33,28,10,8.5,*,<= 5.0,20180117
2017,01,Allegany,0606,Allegany High,Algebra 2,155,62,40,48,31,26,16.8,19,12.3,*,<= 5.0,20180117
2017,01,Allegany,0701,Cresaptown Elementary,English/Language Arts Grade 3,47,12,25.5,7,14.9,10,21.3,15,31.9,3,6.4,20180117
2017,01,Allegany,0701,Cresaptown Elementary,English/Language Arts Grade 4,60,4,6.7,8,13.3,16,26.7,31,51.7,*,<= 5.0,20180117
2017,01,Allegany,0701,Cresaptown Elementary,English/Language Arts Grade 5,52,3,5.8,15,28.8,8,15.4,26,50,*,<= 5.0,20180117
2017,01,Allegany,0701,Cresaptown Elementary,Mathematics Grade 3,47,9,19.1,11,23.4,7,14.9,18,38.3,*,<= 5.0,20180117
2017,01,Allegany,0701,Cresaptown Elementary,Mathematics Grade 4,60,*,<= 5.0,10,16.7,23,38.3,24,40,*,<= 5.0,20180117
2017,01,Allegany,0701,Cresaptown Elementary,Mathematics Grade 5,52,5,9.6,9,17.3,12,23.1,24,46.2,*,<= 5.0,20180117
2017,01,Allegany,0702,Bel Air Elementary,English/Language Arts Grade 3,28,4,14.3,5,17.9,5,17.9,13,46.4,*,<= 5.0,20180117
2017,01,Allegany,0702,Bel Air Elementary,English/Language Arts Grade 4,36,2,5.6,7,19.4,11,30.6,16,44.4,*,<= 5.0,20180117
2017,01,Allegany,0702,Bel Air Elementary,English/Language Arts Grade 5,43,8,18.6,6,14,13,30.2,15,34.9,*,<= 5.0,20180117
